categoryDmd	vectorization	space-transf	classifier	acc	balanced-acc	err-0	err-1	f1-0	f1-1	f1-macro-avg	nb0	nb1
acpa	CHI2*TP	None	OurGiniPLS	0.5678571428571428	0.675	0.525	0.125	0.6	0.5095238095238095	0.5547619047619048	17	6
acpa	CHI2*TF	None	OurGiniPLS	0.5238095238095238	0.55625	0.5125	0.375	0.568452380952381	0.41666666666666663	0.49255952380952384	17	6
acpa	CHI2*LOGTF	None	OurGiniPLS	0.5238095238095238	0.55625	0.5125	0.375	0.568452380952381	0.41666666666666663	0.49255952380952384	17	6
acpa	CHI2*ATF	None	OurGiniPLS	0.5678571428571428	0.675	0.525	0.125	0.6	0.5095238095238095	0.5547619047619048	17	6
acpa	CHI2*LOGAVE	None	OurGiniPLS	0.5738095238095238	0.68125	0.5125	0.125	0.5851190476190476	0.5166666666666666	0.5508928571428572	17	6
acpa	CHI2*AVERAGELocals	None	OurGiniPLS	0.5738095238095238	0.68125	0.5125	0.125	0.5851190476190476	0.5166666666666666	0.5508928571428572	17	6
acpa	DBIDF*TP	None	OurGiniPLS	0.6869047619047619	0.7625	0.35	0.125	0.7240079365079365	0.6	0.6620039682539682	17	6
acpa	DBIDF*TF	None	OurGiniPLS	0.6095238095238096	0.6125	0.4	0.375	0.6636904761904763	0.5178571428571429	0.5907738095238095	17	6
acpa	DBIDF*LOGTF	None	OurGiniPLS	0.6095238095238096	0.6125	0.4	0.375	0.6636904761904763	0.5178571428571429	0.5907738095238095	17	6
acpa	DBIDF*ATF	None	OurGiniPLS	0.6869047619047619	0.7625	0.35	0.125	0.7240079365079365	0.6	0.6620039682539682	17	6
acpa	DBIDF*LOGAVE	None	OurGiniPLS	0.6869047619047619	0.7625	0.35	0.125	0.7240079365079365	0.6	0.6620039682539682	17	6
acpa	DBIDF*AVERAGELocals	None	OurGiniPLS	0.6869047619047619	0.7625	0.35	0.125	0.7240079365079365	0.6	0.6620039682539682	17	6
acpa	DELTADF*TP	None	OurGiniPLS	0.6785714285714286	0.7	0.35	0.25	0.725	0.5166666666666666	0.6208333333333332	17	6
acpa	DELTADF*TF	None	OurGiniPLS	0.636904761904762	0.54375	0.2875	0.625	0.7152777777777778	0.3333333333333333	0.5243055555555556	17	6
acpa	DELTADF*LOGTF	None	OurGiniPLS	0.636904761904762	0.54375	0.2875	0.625	0.7152777777777778	0.3333333333333333	0.5243055555555556	17	6
acpa	DELTADF*ATF	None	OurGiniPLS	0.6785714285714286	0.7	0.35	0.25	0.725	0.5166666666666666	0.6208333333333332	17	6
acpa	DELTADF*LOGAVE	None	OurGiniPLS	0.6869047619047619	0.7625	0.35	0.125	0.7240079365079365	0.6	0.6620039682539682	17	6
acpa	DELTADF*AVERAGELocals	None	OurGiniPLS	0.7285714285714285	0.825	0.35	0.0	0.7517857142857143	0.6833333333333332	0.7175595238095237	17	6
acpa	DSIDF*TP	None	OurGiniPLS	0.5869047619047619	0.5125	0.35	0.625	0.6319444444444444	0.3333333333333333	0.4826388888888889	17	6
acpa	DSIDF*TF	None	OurGiniPLS	0.5392857142857144	0.44375	0.3625	0.75	0.611111111111111	0.2	0.40555555555555556	17	6
acpa	DSIDF*LOGTF	None	OurGiniPLS	0.5392857142857144	0.44375	0.3625	0.75	0.611111111111111	0.2	0.40555555555555556	17	6
acpa	DSIDF*ATF	None	OurGiniPLS	0.5869047619047619	0.5125	0.35	0.625	0.6319444444444444	0.3333333333333333	0.4826388888888889	17	6
acpa	DSIDF*LOGAVE	None	OurGiniPLS	0.6226190476190476	0.5375	0.3	0.625	0.6666666666666667	0.3666666666666667	0.5166666666666667	17	6
acpa	DSIDF*AVERAGELocals	None	OurGiniPLS	0.6226190476190476	0.5375	0.3	0.625	0.6666666666666667	0.3666666666666667	0.5166666666666667	17	6
acpa	GSS*TP	None	OurGiniPLS	0.6369047619047619	0.66875	0.4125	0.25	0.6892857142857142	0.4666666666666667	0.5779761904761904	17	6
acpa	GSS*TF	None	OurGiniPLS	0.636904761904762	0.54375	0.2875	0.625	0.7152777777777778	0.3333333333333333	0.5243055555555556	17	6
acpa	GSS*LOGTF	None	OurGiniPLS	0.636904761904762	0.54375	0.2875	0.625	0.7152777777777778	0.3333333333333333	0.5243055555555556	17	6
acpa	GSS*ATF	None	OurGiniPLS	0.6369047619047619	0.66875	0.4125	0.25	0.6892857142857142	0.4666666666666667	0.5779761904761904	17	6
acpa	GSS*LOGAVE	None	OurGiniPLS	0.6452380952380953	0.73125	0.4125	0.125	0.6892857142857143	0.5583333333333332	0.6238095238095237	17	6
acpa	GSS*AVERAGELocals	None	OurGiniPLS	0.6452380952380953	0.73125	0.4125	0.125	0.6892857142857143	0.5583333333333332	0.6238095238095237	17	6
acpa	IDF*TP	None	OurGiniPLS	0.4880952380952381	0.625	0.625	0.125	0.4017857142857143	0.48611111111111116	0.44394841269841273	17	6
acpa	IDF*TF	None	OurGiniPLS	0.5380952380952381	0.65625	0.5625	0.125	0.5017857142857143	0.5027777777777778	0.502281746031746	17	6
acpa	IDF*LOGTF	None	OurGiniPLS	0.5380952380952381	0.65625	0.5625	0.125	0.5017857142857143	0.5027777777777778	0.502281746031746	17	6
acpa	IDF*ATF	None	OurGiniPLS	0.4880952380952381	0.625	0.625	0.125	0.4017857142857143	0.48611111111111116	0.44394841269841273	17	6
acpa	IDF*LOGAVE	None	OurGiniPLS	0.43809523809523804	0.5	0.625	0.375	0.375	0.3194444444444444	0.34722222222222227	17	6
